Date,Day of the Week,Start Time(Hours),Chatrapati Shivaji (International) Fare,Kokilaben Hospital Fare,Bank of Baroda(BKC) Fare,Marine Drive Aquarium Fare,Phoenix Mall Fare,Number of Cars Nearby,Chhatrapati Airport(International)Travel Time,Kokilaben Hospital Travel Time,Bank of Baroda BKC Travel Time,Marine Drive Travel Time,Phoenix Mall Travel Time,Type of Car,Travel Distance(Chattrapti Airport),Travel Distance(Kokilaben Hospital),Travel Distance(Bank of Baroda),Travel Distance (Taraporevala Aquaruim),Travel Distance (Phoneix Mall),Holiday/Festival,Latitude of Pickup point,Longitude of Pickup Point,Latitude of Destination(Chattrapti Shivaji Airport),Latitude of Destination(Kokilaben Hospital),Latitude of Destination ( bank of baroda),Latitude of Destination(Taraporevala Aquarium),Latitude of Destination(Phoneix Mall),Longitude of Destination(Chattrapati Shivaji Airport),Longitude of Destination(Kokilaben Hospital),Longitude of Destination(Bank of Baroda),Longitude of Destination(Taraporevala Aquarium),Longitude of Destination(Phoenix Mall)
28-09-2021,Tuesday,8:00,144,202,223,424,155,15,41,38,26,55,20,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,8:00,187,262,290,549,202,15,41,38,26,55,20,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,8:00,270,373,407,755,290,15,41,38,26,55,20,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,9:00,257,220,266,743,297,13,58,52,42,78,25,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,9:00,333,283,344,959,385,13,58,52,42,78,25,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,9:00,484,407,483,1330,556,13,58,52,42,78,25,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,10:00,181,217,268,439,170,13,67,54,46,83,33,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,10:00,234,280,346,566,220,13,67,54,46,83,33,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,10:00,337,402,487,788,318,13,67,54,46,83,33,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,11:00,172,215,259,438,173,17,61,53,34,77,34,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,11:00,223,278,337,565,224,17,61,53,34,77,34,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,11:00,320,399,470,786,322,17,61,53,34,77,34,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,12:00,173,217,259,436,165,23,50,55,32,72,31,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,12:00,224,280,335,563,213,23,50,55,32,72,31,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,12:00,321,402,468,778,308,23,50,55,32,72,31,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,13:00,172,220,258,435,163,14,47,52,32,71,30,Mini ,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,13:00,223,283,334,562,211,14,47,52,32,71,30,Sedan,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
28-09-2021,Tuesday,13:00,319,407,467,776,305,14,47,52,32,71,30,SUV,20,12,15,29,7.6,0,19.114942,72.907036,18.9398,19.1313,19.0612,18.9493,19.0864,72.8354,72.8251,72.8646,72.82,72.889
